Star1_ID,Star2_ID,AngularSeparation_rad
32759,95347,0.142050159
8796,37740,0.142071961
83895,109492,0.142302943
54061,58001,0.142343872
88714,95241,0.14237205
78401,88635,0.142532382
57363,82273,0.142573408
4427,41704,0.14261405
8886,56211,0.142730232
8645,24305,0.142817644
28380,104060,0.142921665
17573,21421,0.142935033
78933,100064,0.14311358
14135,37279,0.143200264
61359,80112,0.143234879
50583,77233,0.143505597
9236,48774,0.143753602
3179,68756,0.143850071
746,54061,0.143893613
25606,80112,0.143986912
27654,84012,0.144073579
8903,93747,0.144334676
32607,43783,0.14444592
30438,43783,0.144640168
42828,85696,0.144701578
18246,47908,0.144806591
5348,60718,0.144883575
27321,109268,0.144913535
68756,102422,0.145054238
52419,85267,0.145087126
15900,84345,0.145112962
74785,100064,0.145159575
25336,43109,0.14519045
44816,71352,0.145707516
82545,95241,0.145729427
21281,71536,0.145743702
60260,102395,0.145806493
27321,44816,0.145819323
9598,61281,0.146094303
26727,98036,0.146099553
18532,44127,0.14625077
28358,99675,0.146605125
18724,98036,0.146864098
76470,93085,0.146974231
88635,105881,0.147058516
8903,50335,0.147062675
76276,112029,0.147119398
32246,36850,0.147333812
1067,35550,0.147394163
1067,22449,0.147533172
71053,71075,0.147668224
20042,39429,0.147787309
22109,110395,0.147889129
20894,50583,0.148110306
36377,65109,0.148145772
19780,57363,0.148200831
41704,59774,0.148286532
30438,110130,0.148318057
17678,57363,0.14841764
77622,89962,0.148434778
34481,61585,0.14851302
3821,83895,0.148647036
68702,74946,0.148682744
71865,84143,0.148845648
8886,112724,0.148940693
35264,82729,0.148945482
17358,87833,0.149098686
53229,113726,0.1491112
35550,50335,0.14917056
71352,77634,0.149256483
72622,78933,0.149287247
23875,72220,0.149384278
23416,79992,0.149668355
25606,86263,0.149733197
17702,78072,0.149811616
58001,102098,0.149862917
38827,53253,0.14991167
68702,102395,0.150039527
42536,75264,0.150064251
8068,86414,0.150246326
8796,35550,0.150412
10064,84380,0.150513211
59196,73807,0.150533606
37229,76470,0.150567802
42828,89931,0.150710521
32759,76470,0.151030714
17358,73555,0.151038925
36377,85792,0.151232046
65378,79992,0.151346639
45238,61199,0.151450646
37826,50335,0.151603161
67927,72105,0.151653886
18543,72622,0.151720018
61932,95347,0.151784589
55282,107556,0.151814154
5348,42570,0.151814729
71352,85792,0.151868805
54872,109176,0.152020885
14879,35904,0.152094741
60129,66249,0.152204371
67927,97278,0.152262812
81377,113136,0.152470117
89341,93683,0.152499795
60823,73334,0.152511182
82545,95347,0.152513976
7607,73555,0.152903225
43783,74395,0.15299126
60260,62434,0.153051649
92041,113368,0.153093348
8832,37826,0.153130498
20042,76470,0.15320961
2072,67472,0.153400978
92855,105881,0.153596766
16083,97365,0.153953871
62956,111169,0.154234759
50801,111169,0.154474148
50335,112748,0.154507677
71352,85696,0.15454859
33856,89931,0.154664712
95241,108085,0.154807534
49583,51624,0.154991677
12706,26551,0.155624896
9487,77622,0.155660653
94376,107259,0.156006424
68756,75097,0.156170929
15863,57399,0.156319121
45238,57363,0.156950576
42828,71352,0.156978347
1067,50335,0.157014635
53229,92420,0.157053725
52419,85258,0.157077514
95347,108085,0.157112587
45238,71683,0.15711431
5447,13209,0.157436842
45238,71681,0.15748053
9236,100751,0.157483857
746,6686,0.157547444
56211,116727,0.157652309
102422,112724,0.157728557
39429,112122,0.157740384
93747,98036,0.157790509
48319,95853,0.157803402
35904,68933,0.157844218
71536,103227,0.157896308
64962,89931,0.158117593
47908,101958,0.15813551
27366,89962,0.158196864
26207,86742,0.158252659
12706,26549,0.158347438
50099,62322,0.158357671
68933,75141,0.158361986
19780,63613,0.158462468
2021,61199,0.158658958
15900,32362,0.158694234
57757,88771,0.158770937
13209,36046,0.158824356
31685,85792,0.158885683
27628,90185,0.159094043
17448,81833,0.159154573
30438,68002,0.159229193
39429,76297,0.159292804
20455,37740,0.159479956
56211,72607,0.159689894
17678,63613,0.159788025
45101,51232,0.159802946
19343,81833,0.160078915
47908,93194,0.160115396
30438,95241,0.160132756
14135,57757,0.160229158
50335,76952,0.160389244
59747,88714,0.160423053
44511,66657,0.160530723
43023,85927,0.16066589
59449,61622,0.160673468
50371,85258,0.16082644
34481,71908,0.160836648
50371,85267,0.160862033
677,47908,0.160868706
85670,87833,0.160877758
63125,87933,0.16095451
77634,85696,0.160985095
28358,59774,0.160989568
53253,59196,0.161068238
746,58001,0.161092868
41037,59196,0.16121056
6867,26634,0.161560592
15900,47508,0.161754437
14135,23875,0.161822389
33579,89642,0.161848396
34481,82273,0.161878272
87833,107259,0.162094698
76470,108085,0.162140211
17529,92420,0.16221926
25606,90496,0.162250702
62434,74946,0.162484552
24305,84970,0.162548037
50372,95853,0.162682035
17573,55219,0.162841169
28358,28360,0.162971997
50191,112623,0.162980915
22549,93747,0.162990314
30343,72105,0.163004115
78933,93506,0.163192443
33977,42828,0.163443253
5348,100751,0.163452142
56211,102422,0.163546193
34444,78104,0.163585451
33977,52943,0.16368102
34481,41312,0.164227266
19780,55425,0.16439212
25606,78104,0.164448822
45941,60009,0.164603205
46651,75177,0.16468507
39429,86670,0.164763494
